category,subheader,subheader2,sample,well,ra
carbon_utilization,galactose_degradation,1_galactose_degradation,Hain_H43_02um_R1,H43,
carbon_utilization,galactose_degradation,1_galactose_degradation,Hain_H43_02um_R2,H43,
carbon_utilization,galactose_degradation,1_galactose_degradation,Hain_H52_02um_R3,H52,
carbon_utilization,galactose_degradation,1_galactose_degradation,H51R202um_2022,H51,0.088169238
carbon_utilization,galactose_degradation,1_galactose_degradation,H51R302um_2022,H51,0.113126978
carbon_utilization,galactose_degradation,1_galactose_degradation,Hain_H52_02um_R2,H52,0.314633497
carbon_utilization,galactose_degradation,1_galactose_degradation,Hain_H52_02um_R1,H52,0.359077972
carbon_utilization,galactose_degradation,1_galactose_degradation,H41R202um_2022,H41,0.407663122
carbon_utilization,galactose_degradation,1_galactose_degradation,H41R102um_2022,H41,0.492596817
carbon_utilization,galactose_degradation,1_galactose_degradation,H41R302um_2022,H41,0.586108021
carbon_utilization,galactose_degradation,1_galactose_degradation,H53R302um_2022,H53,0.598864325
carbon_utilization,galactose_degradation,1_galactose_degradation,Hain_H41_02um_R3,H41,0.77549685
carbon_utilization,galactose_degradation,1_galactose_degradation,Hain_H41_02um_R2,H41,0.85241951
carbon_utilization,galactose_degradation,1_galactose_degradation,Hain_H41_02um_R1,H41,1.071177974
carbon_utilization,galactose_degradation,1_galactose_degradation,H14R102um_2022,H14,1.098196651
carbon_utilization,galactose_degradation,1_galactose_degradation,Hain_H14_02um_R1,H14,1.118787961
carbon_utilization,galactose_degradation,1_galactose_degradation,H32R102um_2022,H32,1.122159848
carbon_utilization,galactose_degradation,1_galactose_degradation,H14R302um_2022,H14,1.160096649
carbon_utilization,galactose_degradation,1_galactose_degradation,Hain_H14_02um_R3,H14,1.516675998
carbon_utilization,galactose_degradation,1_galactose_degradation,Hain_H51_02um_R1,H51,1.643716471
carbon_utilization,galactose_degradation,1_galactose_degradation,Hain_H51_02um_R3,H51,1.649397255
carbon_utilization,galactose_degradation,1_galactose_degradation,Hain_H51_02um_R2,H51,1.657675859
carbon_utilization,galactose_degradation,1_galactose_degradation,H14R202um_2022,H14,1.735167016
carbon_utilization,galactose_degradation,1_galactose_degradation,H53R102um_2022,H53,1.894018996
carbon_utilization,galactose_degradation,1_galactose_degradation,Hain_H14_02um_R2,H14,1.912955693
carbon_utilization,galactose_degradation,1_galactose_degradation,H52R202um_2022,H52,2.048928621
