Genome,Hain_H14_01um_R1,Hain_H14_01um_R2,Hain_H14_01um_R3,Hain_H14_02um_R1,Hain_H14_02um_R2,Hain_H14_02um_R3,Hain_H32_02um_R1,Hain_H41_01um_R1,Hain_H41_01um_R2,Hain_H41_01um_R3,Hain_H41_02um_R1,Hain_H41_02um_R2,Hain_H41_02um_R3,Hain_H43_01um_R1,Hain_H43_01um_R2,Hain_H43_01um_R3,Hain_H43_02um_R1,Hain_H43_02um_R2,Hain_H43_02um_R3,Hain_H51_01um_R1,Hain_H51_01um_R2,Hain_H51_01um_R3,Hain_H51_02um_R1,Hain_H51_02um_R2,Hain_H51_02um_R3,Hain_H52_01um_R1,Hain_H52_01um_R2,Hain_H52_01um_R3,Hain_H52_02um_R1,Hain_H52_02um_R2,Hain_H52_02um_R3
H41R101um_2022_B0007,0,0,0,0,0,0,0,0.768472379,0.70879472,1.185454263,0.098040572,0.065665338,0.059188558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H41R302um_2022HA_B0164,0,0,0,0,0,0,0.03009112,0.293685301,0.018058332,0.123488187,0.873827106,0.641980306,0.674636135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H53R101um_2022_B0045,0,0,0,0,0,0,0.028671263,0.115910236,0.071556642,0.243188095,0.028874302,0.022010461,0.019308707,0,0,0,0,0,0,0.2535603,0.249886263,0.154631736,0.025247383,0,0.014344989,0.036091235,0.021135659,0.044570295,0,0,0
H41R301um_2022_B0005,0,0,0,0,0,0,0.031808005,0.195586568,0.125035695,0.406421917,0.046630689,0.038928118,0.031143864,0,0,0,0,0,0,0.217154304,0.204925158,0.132437993,0.019991197,0,0,0.022386282,0,0.030098303,0,0,0
H41R202um_2022HA_B0081,0,0,0,0,0,0,0,0.100987621,0,0,0.428736868,0.362582381,0.341834353,0,0,0,0,0,0,0,0,0,0.060151058,0.045802816,0.049582422,0,0,0,0,0,0
H14R102um_2022HA_B0090,0.075043699,0.32193279,0.144094244,0.27284391,0.269980062,0.180150059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H14R202um_2022HA_B0001,0,0,0.029538818,0.100080845,0.099656473,0.123748571,0.029303951,0,0,0,0,0,0,0,0,0,0,0,0,0.047056665,0.132798957,0.121294628,0.048517106,0.040653256,0.046691289,0,0,0,0,0,0
H41-bin287_1-contigs,0,0,0,0,0,0,0,0.13910177,0,0.046580915,0.421938042,0.314771476,0.362213836,0,0,0,0.030616161,0.036878354,0.024732642,0.024391153,0.027792906,0.070725289,0.316025081,0.236683062,0.233784424,0,0,0.01949167,0.325700766,0.402887133,0.428972008
H14R102um_2022HA_B0067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H41-bin257_1-contigs,0,0,0,0,0,0,0.104923778,2.784706914,2.073266493,5.253804181,0.823940653,0.56517981,0.558385336,0.068982283,0.045451237,0.038951273,0.016085686,0.015830182,0.01939312,0,0,0,0,0,0,0.04001129,0.026679758,0.062492653,0,0,0
