Genome,H14R101um_2022,H14R102um_2022,H14R201um_2022,H14R202um_2022,H14R301um_2022,H14R302um_2022,H32R101um_2022,H32R102um_2022,H32R201um_2022,H32R202um_2022,H32R301um_2022,H32R302um_2022,H41R101um_2022,H41R102um_2022,H41R201um_2022,H41R202um_2022,H41R301um_2022,H41R302um_2022,H51R101um_2022,H51R201um_2022,H51R202um_2022,H51R301um_2022,H51R302um_2022,H52R102um_2022,H52R201um_2022,H52R202um_2022,H52R301um_2022,H52R302um_2022,H53R101um_2022,H53R102um_2022,H53R201um_2022,H53R202um_2022,H53R301um_2022,H53R302um_2022
H41R101um_2022_B0007,0,0,0,0,0,0,0.48733001,0,0,0,0.033286338,0,0.866791123,0.145891187,1.096299704,0.202180608,1.018640541,0.186153956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H41R302um_2022HA_B0164,0,0,0,0,0,0,0.447610296,0.02582548,0,0.029727768,0.037191461,0.084509587,0,0.37877554,0.037814081,0.68078227,0.047991172,0.679296928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H53R101um_2022_B0045,0,0,0,0,0,0,0.214385761,0.057593821,0,0.056451793,0.080790369,0.05831524,0.179507248,0.083088048,0.448469824,0.118405869,0.440224469,0.121195233,0.08161802,0.066525689,0,0.185435737,0,0.072947385,0.184758184,0.073758577,0.14065647,0.035196398,0.324425831,0.258676592,0.586456195,0.435745752,0.69435322,0.149922517
H41R301um_2022_B0005,0,0,0,0,0,0,0.349283845,0.062975979,0,0.063312335,0.10083319,0.067878407,0.301057241,0.143092563,0.760682966,0.203085849,0.747073276,0.206423116,0.05403476,0.04874998,0,0.130957652,0,0.045776347,0.124885788,0.046993951,0.092512968,0.022313737,0.194447065,0.165865786,0.377788296,0.279735305,0.459814659,0.094385354
H41R202um_2022HA_B0081,0,0,0,0,0,0,0.032927755,0,0,0,0,0,0,0.257098555,0,0.281259246,0.162033169,0.234864696,0,0,0.034493233,0,0.018849572,0,0,0,0,0,0,0,0,0,0,0
H14R102um_2022HA_B0090,0.367756938,0.327350635,0.053610851,0.283397782,0.081046669,0.313880183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H14R202um_2022HA_B0001,0.017537968,0.063696933,0,0.104457425,0,0.055246798,0,0.091526658,0,0.087737205,0.05105172,0.099601808,0,0,0,0,0,0,0,0,0.056517978,0,0.046980223,0,0,0,0,0,0,0,0,0,0,0
H41-bin287_1-contigs,0,0,0,0,0,0,0.033031371,0,0,0,0,0,0,0.044482614,0,0.067752489,0,0.06577258,0.025319761,0,0,0,0,0.082607223,0,0.085478786,0,0.122553427,0,0.089895702,0,0.17788039,0,0.086594247
H14R102um_2022HA_B0067,0.112073446,0.262689704,0.020095312,0.213783436,0,0.202129328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H41-bin257_1-contigs,0,0,0.014543346,0,0,0,0.794646878,0.24139633,0.027394707,0.269669655,0.355263938,0.277440453,0.485261325,0.243460858,1.458264379,0.35361289,1.468897526,0.282596393,0,0,0,0,0,0,0.040199407,0,0,0,0,0,0,0,0,0
H41-bin082_1-contigs,0,0,0.015181678,0,0,0,2.125371773,0.08225051,0.026967791,0.086101222,0.449420019,0.162202584,1.86634567,1.145007323,4.294153392,1.582211964,4.070829908,1.615790901,0.194963237,0.020844738,0,0.393578283,0,0.341697331,0.502012088,0.335815433,0.461412134,0.347066335,0.475628398,0.394946629,0.688883268,0.648991513,1.037331556,0.25055753
H41R301um_2022_B0045,0,0,0,0,0,0,0.840949613,0.026296615,0,0.027547242,0.12948804,0.051574364,0.89597531,0.235193294,1.475501099,0.307682701,1.357003916,0.26978132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H32R302um_2022HA_B0153,0,0,0,0,0,0,0.028436967,0.266937981,0,0.277438061,0.13965951,0.30791068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H53R302um_2022HA_B0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.116602432,0.238364984,0,4.356528783,0.022601921,1.880419447,7.211487153,1.956953264,6.543932178,2.281060388,2.612475622,1.569295696,3.639325983,2.70083435,6.106046632,1.231313167
H41R102um_2022HA_B0032,0,0,0,0,0,0,0.135962122,0,0,0,0,0.03034604,0,0.240947511,0,0.170493757,0.051678529,0.134228931,0.068199569,0,0.177303118,0,0.183152217,0,0,0,0,0,0.035694911,0.160828085,0,0.092610967,0,0.078624004
H32R102um_2022_B0093,0,0,0.030364691,0,0,0,0.166396459,0.515601413,0.075392062,0.524032218,0.620518433,0.471757862,0,0,0,0,0,0,0,0.024547515,0,0.026899628,0,0,0.024396526,0,0.022024506,0,0,0,0,0,0,0
H51R101um_2022_B0035,0,0,0,0,0,0,0.103683023,0.089606041,0.056825862,0.098355494,0.152909458,0.086887908,0.023027862,0,0.036706465,0,0.043940343,0,0.561697754,0.110347256,0,0.94634344,0,0.45895986,2.064550861,0.472321523,1.834548073,0.422398098,0.082564794,0.031446778,0.121452266,0.058222342,0.175134303,0.023796631
H32R302um_2022_B0038,0,0.059834788,0,0.044813918,0,0.050640117,0.033510013,0.803260937,0,0.822572682,0.462453952,0.772123541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H51R301um_2022_B0066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251072603,0.045659121,0,0.657643877,0,0.308911986,0.519746156,0.288399051,0.361607855,0.329566045,0.014766918,0.015321711,0,0.028709508,0.036320709,0
H51-bin334_1-contigs,0,0,0,0,0,0,0,0.021698359,0,0,0,0,0,0,0,0,0,0,0.082571048,0.725629252,0.488327956,0.245928284,0.466197303,0,0,0,0,0,0,0,0,0,0,0
H14R202um_2022HA_B0076,0.530239455,0.777390096,0.036925086,0.713772237,0.043686325,0.755772214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H14R302um_2022_B0024,2.835714569,4.10242003,0.41599815,3.219506675,0.106961455,3.798517679,0,0.036086252,0,0.039585511,0.033025734,0.030050319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H53R101um_2022_B0057,0.019163698,0,0,0,0,0,0.015339462,0,0,0,0,0,0.13566603,0,0.083052676,0,0.069090394,0,0,0,0,0,0,0,0.016679889,0,0,0,0.295165355,0,0.281047485,0,0.211506025,0
