"","ALL_richness","ALL_Shannons_H","ALL_Peilous_J","ALL_Simpson","ALL_Invsimpson","ALL_evenness"
"Hain_H14_01um_R1",21,2.56980407952775,0.844074606804131,0.868877225511432,7.62644021147664,2.50497093303717
"Hain_H14_01um_R2",33,3.05879975438273,0.874815712710723,0.933805489022691,15.1069927889157,4.32059491459519
"Hain_H14_01um_R3",57,3.17169991166118,0.784481744491935,0.891811119391883,9.24309406270885,2.28616790893662
"Hain_H14_02um_R1",120,3.77234496876698,0.787958532660538,0.935568860400787,15.5204456450776,3.24187413345983
"Hain_H14_02um_R2",118,3.9430430822843,0.826515142514988,0.960810735847138,25.5171925683366,5.34874857111197
"Hain_H14_02um_R3",111,3.84291903406398,0.815987767313421,0.946396771831177,18.6555928469553,3.96124285215473
"Hain_H32_02um_R1",469,4.84537715521037,0.787788992010352,0.974774370831169,39.6422223329758,6.4452581032135
"Hain_H41_01um_R1",510,4.81996438138505,0.773122688484671,0.970049240461698,33.3881349059332,5.35545962158052
"Hain_H41_01um_R2",334,4.35932207370083,0.750166289024733,0.96120311242857,25.7752634965597,4.4354909866602
"Hain_H41_01um_R3",463,4.64814066226731,0.757306511239006,0.970486351844106,33.8826293082411,5.52038710904935
"Hain_H41_02um_R1",568,5.30823360961168,0.836980760718715,0.989212714743907,92.7017295139331,14.6168329796224
"Hain_H41_02um_R2",546,5.26365885189809,0.835154222737379,0.988199541415068,84.742469354275,13.4455961371613
"Hain_H41_02um_R3",530,5.22389326609265,0.832774699813365,0.987661048944408,81.044166193266,12.9197760626728
"Hain_H43_01um_R1",189,4.05892155985303,0.774345184571416,0.961643869783111,26.0714517951989,4.97380963260819
"Hain_H43_01um_R2",163,4.05924749055789,0.796907451393077,0.965606716206944,29.0754440901016,5.70806241843123
"Hain_H43_01um_R3",153,4.05134848806433,0.805366958378628,0.966628361343742,29.9655647809334,5.95685012899212
"Hain_H43_02um_R1",344,4.92070757245688,0.84249434584723,0.983930860539529,62.2310860180115,10.6548372025956
"Hain_H43_02um_R2",309,4.82637805932875,0.84180896029623,0.98389333665491,62.0861055188597,10.8289568892459
"Hain_H43_02um_R3",321,4.81802189927052,0.834803959094634,0.981271057436167,53.3932973840753,9.2512937834699
"Hain_H51_01um_R1",421,5.03322005688154,0.832951495716528,0.981211537014357,53.2241514787099,8.80810615896301
"Hain_H51_01um_R2",427,5.17595076287027,0.854570800537954,0.986524605323318,74.2093292250971,12.2522660644686
"Hain_H51_01um_R3",467,5.28725966475638,0.860230463273565,0.987087321207395,77.4432645666581,12.5999212408008
"Hain_H51_02um_R1",563,5.58354538644262,0.881619905370056,0.992555665071773,134.330334360457,21.2102326515961
"Hain_H51_02um_R2",496,5.3068145730474,0.855030960017223,0.98858795793437,87.6267362360787,14.1183701400907
"Hain_H51_02um_R3",534,5.49745355960603,0.875335520335006,0.992138695874366,127.205357281519,20.2543534744109
"Hain_H52_01um_R1",257,3.97990186548316,0.717218831494597,0.961023201368032,25.656288743525,4.62352441217419
"Hain_H52_01um_R2",268,3.99258243225037,0.714110486425344,0.959598092298269,24.7513064824201,4.42700127342427
"Hain_H52_01um_R3",271,4.04112574114802,0.721356663497802,0.960478073155329,25.3024100755562,4.51657861687106
"Hain_H52_02um_R1",357,4.7102648866307,0.801374042914966,0.982190359496489,56.1493647108061,9.55289022770694
"Hain_H52_02um_R2",380,4.73592837047367,0.797271352792186,0.982410770404693,56.8529732687564,9.57093168698113
"Hain_H52_02um_R3",383,4.74650662546992,0.79799574718436,0.98236283731743,56.6984621051469,9.5323013748709
"H14R101um_2022",115,3.40002663573737,0.716559593215973,0.927199461523412,13.7361621345917,2.89491224805569
"H14R102um_2022",145,3.46955239151599,0.697154513600415,0.921027410694626,12.6626214082099,2.54436384656798
"H14R201um_2022",135,3.75534935017912,0.76557369766238,0.936644774561595,15.7840177046205,3.21776422678715
"H14R202um_2022",154,3.3870334251177,0.672437025413875,0.912416634981803,11.4176933004598,2.26678593222987
"H14R301um_2022",48,2.63523009751309,0.68072675381304,0.854494092759911,6.87257321003448,1.77530776383598
"H14R302um_2022",139,3.40491101022364,0.690025128588203,0.915592392379297,11.847273346422,2.40091922806155
"H32R101um_2022",607,5.523822473951,0.861948608494551,0.992745518029725,137.845817812699,21.5097446398317
"H32R102um_2022",484,5.22658891138981,0.845441140045051,0.98249328025579,57.1209235431285,9.23975073216294
"H32R201um_2022",134,3.97613488637887,0.811813993266731,0.966104264153473,29.5022360490356,6.02352001168582
"H32R202um_2022",447,5.17046844707836,0.847262400993917,0.982366691615185,56.7108552846003,9.29296366521679
"H32R301um_2022",482,5.31045066543571,0.859582179346372,0.987533570392591,80.2154290756757,12.9841623029966
"H32R302um_2022",579,5.39157745387086,0.847558730759787,0.984321911994791,63.7832878389107,10.0267654405338
"H41R101um_2022",313,4.42467896179132,0.770017838748822,0.968081711963522,31.330001122151,5.45229607851823
"H41R102um_2022",528,5.34602855549638,0.852759044296546,0.990600505388929,106.388698688352,16.9703405201898
"H41R201um_2022",370,4.63744342000195,0.784212575115012,0.978531829122276,46.5805869394121,7.87698710814885
"H41R202um_2022",544,5.39016116534768,0.8557238602991,0.991339135545404,115.461915521527,18.3303454269232
"H41R301um_2022",451,4.83229458047562,0.790693022155437,0.982266200881909,56.3894963138423,9.22683427421066
"H41R302um_2022",554,5.34304172813536,0.845797441270523,0.990062580755368,100.629748567782,15.9295749846276
"H51R101um_2022",509,4.4351046075405,0.711615178460036,0.959450448148388,24.661185002967,3.95690183656217
"H51R201um_2022",321,4.30821535333381,0.746471333835134,0.940245980717742,16.7352759197058,2.89967021453902
"H51R202um_2022",416,4.86886289116973,0.807348200253912,0.984653380227077,65.1609289079015,10.8048963087619
"H51R301um_2022",443,4.37074147455369,0.717271097155472,0.964341093614152,28.0434848219819,4.60214387957589
"H51R302um_2022",441,4.93991625091691,0.811279330660935,0.986140408406926,72.1521982292545,11.8495100143205
"H52R102um_2022",405,4.27853943223992,0.712628233079321,0.957578093705013,23.5727266249269,3.92624417505696
"H52R201um_2022",260,4.02850278726518,0.724462045227623,0.963403536225613,27.3250444678174,4.91397391201249
"H52R202um_2022",400,4.23529396062037,0.70688792820525,0.954863538504804,22.155037565504,3.6977666130392
"H52R301um_2022",265,4.05884706596368,0.727427168079106,0.964926486424005,28.5115432713422,5.10984297815938
"H52R302um_2022",411,4.34153604279876,0.721353958985273,0.960546241777928,25.3461278484885,4.21130436053403
