sample,richness,shannons_H,peilous_J,simpson,invsimpson,evenness,year,well,filter,note
Hain_H14_01um_R1,25,2.783009515,0.864590517,0.910595102,11.18506947,3.474837204,2019,H14,01um,oxic
Hain_H14_01um_R2,42,3.095408386,0.828165328,0.925023031,13.33742907,3.568380952,2019,H14,01um,oxic
Hain_H14_01um_R3,85,3.615095736,0.813724852,0.930633521,14.41618499,3.244950855,2019,H14,01um,oxic
Hain_H14_02um_R1,169,4.186285674,0.816056204,0.957340442,23.44140538,4.569564953,2019,H14,02um,oxic
Hain_H14_02um_R2,161,4.332325012,0.852584188,0.973929063,38.35688712,7.548481554,2019,H14,02um,oxic
Hain_H14_02um_R3,152,4.251935202,0.846344809,0.965564327,29.03965297,5.780323169,2019,H14,02um,oxic
H14R101um_2022,137,3.612658502,0.73428303,0.939030248,16.40157556,3.333666494,2022,H14,01um,oxic
H14R102um_2022,194,3.716278773,0.705462953,0.932930573,14.90992304,2.830357726,2022,H14,02um,oxic
H14R201um_2022,157,3.936044004,0.77845187,0.94635872,18.64235886,3.686996159,2022,H14,01um,oxic
H14R202um_2022,202,3.619962245,0.681947945,0.924357995,13.22016782,2.490486271,2022,H14,02um,oxic
H14R301um_2022,58,2.884646852,0.710426632,0.880314313,8.35521796,2.057710929,2022,H14,01um,oxic
H14R302um_2022,184,3.639525805,0.697904246,0.927425309,13.77890815,2.642200939,2022,H14,02um,oxic
Hain_H32_02um_R1,614,5.138512475,0.800391984,0.980145985,50.36764699,7.845434078,2019,H32,02um,oxic
H32R101um_2022,723,5.666088767,0.86066179,0.993490675,153.6257652,23.33529028,2022,H32,01um,oxic
H32R102um_2022,628,5.508539112,0.855025963,0.986627351,74.7794975,11.60714494,2022,H32,02um,oxic
H32R201um_2022,154,4.122058038,0.818363476,0.97009415,33.43827346,6.638592042,2022,H32,01um,oxic
H32R202um_2022,593,5.466386129,0.856103321,0.986589442,74.56811498,11.67828422,2022,H32,02um,oxic
H32R301um_2022,624,5.568472065,0.865186757,0.990033229,100.3333993,15.58903904,2022,H32,01um,oxic
H32R302um_2022,739,5.655346287,0.856183378,0.987874075,82.4679339,12.4851195,2022,H32,02um,oxic
Hain_H41_01um_R1,581,4.938744965,0.77595261,0.973310384,37.46775559,5.886759282,2019,H41,01um,oxic
Hain_H41_01um_R2,372,4.470434724,0.755282124,0.965452328,28.94551003,4.89035802,2019,H41,01um,oxic
Hain_H41_01um_R3,520,4.769523355,0.762656526,0.973762421,38.11327205,6.094390044,2019,H41,01um,oxic
Hain_H41_02um_R1,681,5.46317028,0.837451997,0.990411189,104.2882217,15.9863916,2019,H41,02um,oxic
Hain_H41_02um_R2,656,5.419331067,0.835522159,0.989444566,94.73793656,14.60616529,2019,H41,02um,oxic
Hain_H41_02um_R3,631,5.376363357,0.83389302,0.988945095,90.4575863,14.03029238,2019,H41,02um,oxic
H41R101um_2022,345,4.546334521,0.778009748,0.971013293,34.49857161,5.903706577,2022,H41,01um,oxic
H41R102um_2022,659,5.521060738,0.850607904,0.991678218,120.1665763,18.51358723,2022,H41,02um,oxic
H41R201um_2022,414,4.755016546,0.789100947,0.980393973,51.00472314,8.464297639,2022,H41,01um,oxic
H41R202um_2022,671,5.557005389,0.853772084,0.992302207,129.9073577,19.95882094,2022,H41,02um,oxic
H41R301um_2022,501,4.94721967,0.795807164,0.983785499,61.67319131,9.920717238,2022,H41,01um,oxic
H41R302um_2022,683,5.511064384,0.844414115,0.991174485,113.3078298,17.36120724,2022,H41,02um,oxic
Hain_H43_01um_R1,225,4.286719604,0.79147713,0.968335676,31.58128353,5.831000385,2019,H43,01um,anoxic
