taxa,sample,abundance
1_Actinobacteriota,Hain_H14_01um_R1,0
1_Actinobacteriota,Hain_H14_01um_R1,0
1_Actinobacteriota,Hain_H14_01um_R1,0
1_Actinobacteriota,Hain_H14_01um_R1,0
10_Methylomirabilota,Hain_H14_01um_R1,0
10_Methylomirabilota,Hain_H14_01um_R1,0
10_Methylomirabilota,Hain_H14_01um_R1,0
10_Methylomirabilota,Hain_H14_01um_R1,0
10_Methylomirabilota,Hain_H14_01um_R1,0
10_Methylomirabilota,Hain_H14_01um_R1,0
11_UBA9089,Hain_H14_01um_R1,0
11_UBA9089,Hain_H14_01um_R1,0
11_UBA9089,Hain_H14_01um_R1,0
11_UBA9089,Hain_H14_01um_R1,0
11_UBA9089,Hain_H14_01um_R1,0
12_Thermoplasmatota,Hain_H14_01um_R1,0
12_Thermoplasmatota,Hain_H14_01um_R1,0
12_Thermoplasmatota,Hain_H14_01um_R1,0
12_Thermoplasmatota,Hain_H14_01um_R1,0
12_Thermoplasmatota,Hain_H14_01um_R1,0
12_Thermoplasmatota,Hain_H14_01um_R1,0
13_Chloroflexota,Hain_H14_01um_R1,0
13_Chloroflexota,Hain_H14_01um_R1,0
13_Chloroflexota,Hain_H14_01um_R1,0
13_Chloroflexota,Hain_H14_01um_R1,0
13_Chloroflexota,Hain_H14_01um_R1,0
13_Chloroflexota,Hain_H14_01um_R1,0
13_Chloroflexota,Hain_H14_01um_R1,0
13_Chloroflexota,Hain_H14_01um_R1,0
13_Chloroflexota,Hain_H14_01um_R1,0
13_Chloroflexota,Hain_H14_01um_R1,0
13_Chloroflexota,Hain_H14_01um_R1,0
13_Chloroflexota,Hain_H14_01um_R1,0
13_Chloroflexota,Hain_H14_01um_R1,0
13_Chloroflexota,Hain_H14_01um_R1,0
13_Chloroflexota,Hain_H14_01um_R1,0
13_Chloroflexota,Hain_H14_01um_R1,0
13_Chloroflexota,Hain_H14_01um_R1,0
13_Chloroflexota,Hain_H14_01um_R1,0
13_Chloroflexota,Hain_H14_01um_R1,0
13_Chloroflexota,Hain_H14_01um_R1,0
13_Chloroflexota,Hain_H14_01um_R1,0
13_Chloroflexota,Hain_H14_01um_R1,0
13_Chloroflexota,Hain_H14_01um_R1,0
13_Chloroflexota,Hain_H14_01um_R1,0
14_Nanoarchaeota,Hain_H14_01um_R1,0
14_Nanoarchaeota,Hain_H14_01um_R1,0
14_Nanoarchaeota,Hain_H14_01um_R1,0
14_Nanoarchaeota,Hain_H14_01um_R1,0
14_Nanoarchaeota,Hain_H14_01um_R1,0
14_Nanoarchaeota,Hain_H14_01um_R1,0
14_Nanoarchaeota,Hain_H14_01um_R1,0
14_Nanoarchaeota,Hain_H14_01um_R1,0
14_Nanoarchaeota,Hain_H14_01um_R1,0
14_Nanoarchaeota,Hain_H14_01um_R1,0
