host_taxa,well,filter,value
a_Patescibacteria,H14,a.02um,10.0268201
b_Nitrospirota,H14,a.02um,0.758116543
c_Nanoarchaeota,H14,a.02um,4.339053817
d_Planctomycetota,H14,a.02um,0.258519827
e_Proteobacteria,H14,a.02um,34.82850152
f_Omnitrophota,H14,a.02um,2.286541899
g_Thermoproteota,H14,a.02um,1.102723267
h_Others,H14,a.02um,4.359385579
a_Patescibacteria,H32,a.02um,54.89610595
b_Nitrospirota,H32,a.02um,26.92224617
c_Nanoarchaeota,H32,a.02um,17.55267138
d_Planctomycetota,H32,a.02um,1.110415282
e_Proteobacteria,H32,a.02um,7.358120745
f_Omnitrophota,H32,a.02um,14.2615303
g_Thermoproteota,H32,a.02um,2.258879903
h_Others,H32,a.02um,13.01808167
a_Patescibacteria,H41,a.02um,64.53464584
b_Nitrospirota,H41,a.02um,66.01779828
c_Nanoarchaeota,H41,a.02um,8.5963964
d_Planctomycetota,H41,a.02um,6.960098222
e_Proteobacteria,H41,a.02um,13.5125385
f_Omnitrophota,H41,a.02um,3.29366851
g_Thermoproteota,H41,a.02um,6.537948408
h_Others,H41,a.02um,17.75428747
a_Patescibacteria,H43,a.02um,38.31050387
b_Nitrospirota,H43,a.02um,2.654630367
c_Nanoarchaeota,H43,a.02um,6.986089374
d_Planctomycetota,H43,a.02um,1.181119068
e_Proteobacteria,H43,a.02um,1.52807159
f_Omnitrophota,H43,a.02um,1.0843856
g_Thermoproteota,H43,a.02um,6.636246048
h_Others,H43,a.02um,14.50600468
a_Patescibacteria,H51,a.02um,19.81053547
b_Nitrospirota,H51,a.02um,37.01702873
c_Nanoarchaeota,H51,a.02um,5.765684163
d_Planctomycetota,H51,a.02um,5.25553988
e_Proteobacteria,H51,a.02um,6.029518722
f_Omnitrophota,H51,a.02um,3.553965699
g_Thermoproteota,H51,a.02um,15.88222803
h_Others,H51,a.02um,13.66430593
a_Patescibacteria,H52,a.02um,230.3967241
b_Nitrospirota,H52,a.02um,51.3781499
c_Nanoarchaeota,H52,a.02um,18.56618413
d_Planctomycetota,H52,a.02um,34.9844349
e_Proteobacteria,H52,a.02um,5.096928219
f_Omnitrophota,H52,a.02um,21.29493861
g_Thermoproteota,H52,a.02um,0.012874762
h_Others,H52,a.02um,15.85336482
a_Patescibacteria,H53,a.02um,83.89230819
b_Nitrospirota,H53,a.02um,35.74783475
c_Nanoarchaeota,H53,a.02um,6.321946181
d_Planctomycetota,H53,a.02um,116.6927743
e_Proteobacteria,H53,a.02um,21.42403107
f_Omnitrophota,H53,a.02um,6.639796767
g_Thermoproteota,H53,a.02um,1.227615699
h_Others,H53,a.02um,14.65093788
a_Patescibacteria,H14,b.01um,2.961780525
b_Nitrospirota,H14,b.01um,0.076216555
c_Nanoarchaeota,H14,b.01um,1.280103087
d_Planctomycetota,H14,b.01um,0.049552802
e_Proteobacteria,H14,b.01um,9.662809529
f_Omnitrophota,H14,b.01um,0.208525399
g_Thermoproteota,H14,b.01um,0.073084887
h_Others,H14,b.01um,0.600420371
a_Patescibacteria,H32,b.01um,63.6520794
b_Nitrospirota,H32,b.01um,14.43905398
c_Nanoarchaeota,H32,b.01um,19.28988994
d_Planctomycetota,H32,b.01um,0.698813444
e_Proteobacteria,H32,b.01um,5.413427444
f_Omnitrophota,H32,b.01um,4.149905855
g_Thermoproteota,H32,b.01um,0.642804741
h_Others,H32,b.01um,6.014511068
a_Patescibacteria,H41,b.01um,199.3036873
b_Nitrospirota,H41,b.01um,9.937469087
c_Nanoarchaeota,H41,b.01um,25.72391195
d_Planctomycetota,H41,b.01um,0.74387208
e_Proteobacteria,H41,b.01um,2.460660383
f_Omnitrophota,H41,b.01um,0.191856617
g_Thermoproteota,H41,b.01um,0.763374463
h_Others,H41,b.01um,6.732309507
a_Patescibacteria,H43,b.01um,84.29368435
b_Nitrospirota,H43,b.01um,0.05307101
c_Nanoarchaeota,H43,b.01um,21.07624469
d_Planctomycetota,H43,b.01um,0.020004364
e_Proteobacteria,H43,b.01um,3.856756085
f_Omnitrophota,H43,b.01um,0
g_Thermoproteota,H43,b.01um,0.083551
h_Others,H43,b.01um,0.751891766
a_Patescibacteria,H51,b.01um,153.2339762
b_Nitrospirota,H51,b.01um,5.220122252
c_Nanoarchaeota,H51,b.01um,25.42070642
d_Planctomycetota,H51,b.01um,2.706620746
e_Proteobacteria,H51,b.01um,6.749961145
f_Omnitrophota,H51,b.01um,0.712570658
g_Thermoproteota,H51,b.01um,2.332678754
h_Others,H51,b.01um,3.674879983
a_Patescibacteria,H52,b.01um,394.8908829
b_Nitrospirota,H52,b.01um,12.1564482
c_Nanoarchaeota,H52,b.01um,55.59431509
d_Planctomycetota,H52,b.01um,1.040727444
e_Proteobacteria,H52,b.01um,7.713745193
f_Omnitrophota,H52,b.01um,0.333849647
g_Thermoproteota,H52,b.01um,0
h_Others,H52,b.01um,1.666576097
a_Patescibacteria,H53,b.01um,116.3077072
b_Nitrospirota,H53,b.01um,5.426028289
c_Nanoarchaeota,H53,b.01um,6.021974384
d_Planctomycetota,H53,b.01um,10.4094899
e_Proteobacteria,H53,b.01um,5.55589421
f_Omnitrophota,H53,b.01um,0.242526617
g_Thermoproteota,H53,b.01um,0.043143446
h_Others,H53,b.01um,3.514818581
