host_link,well,filter,value
a_Patescibacteria,H14,a.02um,44.71252717
b_Nitrospirota,H14,a.02um,1.452091296
c_Nanoarchaeota,H14,a.02um,36.62823941
d_Planctomycetota,H14,a.02um,0.319717176
e_Proteobacteria,H14,a.02um,172.1345131
f_Omnitrophota,H14,a.02um,4.139926946
g_Thermoproteota,H14,a.02um,0.340069879
h_Others,H14,a.02um,48.61726002
a_Patescibacteria,H32,a.02um,116.7117786
b_Nitrospirota,H32,a.02um,59.80831717
c_Nanoarchaeota,H32,a.02um,129.6399116
d_Planctomycetota,H32,a.02um,3.971011616
e_Proteobacteria,H32,a.02um,108.5789393
f_Omnitrophota,H32,a.02um,37.19439554
g_Thermoproteota,H32,a.02um,2.083037849
h_Others,H32,a.02um,56.90247963
a_Patescibacteria,H41,a.02um,168.1727393
b_Nitrospirota,H41,a.02um,426.9924757
c_Nanoarchaeota,H41,a.02um,53.51188784
d_Planctomycetota,H41,a.02um,38.23039643
e_Proteobacteria,H41,a.02um,87.60993477
f_Omnitrophota,H41,a.02um,7.000862128
g_Thermoproteota,H41,a.02um,15.85531649
h_Others,H41,a.02um,140.4054106
a_Patescibacteria,H43,a.02um,92.91030167
b_Nitrospirota,H43,a.02um,5.778127134
c_Nanoarchaeota,H43,a.02um,35.9397115
d_Planctomycetota,H43,a.02um,4.398859989
e_Proteobacteria,H43,a.02um,27.09958256
f_Omnitrophota,H43,a.02um,4.667632899
g_Thermoproteota,H43,a.02um,21.26651348
h_Others,H43,a.02um,51.51185445
a_Patescibacteria,H51,a.02um,40.94569598
b_Nitrospirota,H51,a.02um,162.2469885
c_Nanoarchaeota,H51,a.02um,28.24915003
d_Planctomycetota,H51,a.02um,32.13340159
e_Proteobacteria,H51,a.02um,20.86271736
f_Omnitrophota,H51,a.02um,3.657949324
g_Thermoproteota,H51,a.02um,61.00634678
h_Others,H51,a.02um,44.42793319
a_Patescibacteria,H52,a.02um,463.0151028
b_Nitrospirota,H52,a.02um,53.10835759
c_Nanoarchaeota,H52,a.02um,217.2405437
d_Planctomycetota,H52,a.02um,45.27629484
e_Proteobacteria,H52,a.02um,125.1545224
f_Omnitrophota,H52,a.02um,45.21661743
g_Thermoproteota,H52,a.02um,0.436186213
h_Others,H52,a.02um,126.7061036
a_Patescibacteria,H53,a.02um,185.9975193
b_Nitrospirota,H53,a.02um,123.4264322
c_Nanoarchaeota,H53,a.02um,66.22743376
d_Planctomycetota,H53,a.02um,225.377262
e_Proteobacteria,H53,a.02um,134.4841638
f_Omnitrophota,H53,a.02um,9.3266621
g_Thermoproteota,H53,a.02um,9.543254148
h_Others,H53,a.02um,64.95674879
a_Patescibacteria,H14,b.01um,20.36636524
b_Nitrospirota,H14,b.01um,22.40614077
c_Nanoarchaeota,H14,b.01um,109.529599
d_Planctomycetota,H14,b.01um,7.926375881
e_Proteobacteria,H14,b.01um,252.9791643
f_Omnitrophota,H14,b.01um,0.209208733
g_Thermoproteota,H14,b.01um,3.782450479
h_Others,H14,b.01um,488.0416813
a_Patescibacteria,H32,b.01um,263.4499229
b_Nitrospirota,H32,b.01um,82.65516216
c_Nanoarchaeota,H32,b.01um,319.348663
d_Planctomycetota,H32,b.01um,17.82677389
e_Proteobacteria,H32,b.01um,591.7965772
f_Omnitrophota,H32,b.01um,10.33961487
g_Thermoproteota,H32,b.01um,10.5561095
h_Others,H32,b.01um,422.5139283
a_Patescibacteria,H41,b.01um,631.8239329
b_Nitrospirota,H41,b.01um,979.6810034
c_Nanoarchaeota,H41,b.01um,472.3392375
d_Planctomycetota,H41,b.01um,36.48215725
e_Proteobacteria,H41,b.01um,1230.59804
f_Omnitrophota,H41,b.01um,0.217326006
g_Thermoproteota,H41,b.01um,17.86605057
h_Others,H41,b.01um,678.0681291
a_Patescibacteria,H43,b.01um,248.3633267
b_Nitrospirota,H43,b.01um,13.26969647
c_Nanoarchaeota,H43,b.01um,156.3321072
d_Planctomycetota,H43,b.01um,14.06580619
e_Proteobacteria,H43,b.01um,216.0431388
f_Omnitrophota,H43,b.01um,1.532982591
g_Thermoproteota,H43,b.01um,23.80925832
h_Others,H43,b.01um,273.11732
a_Patescibacteria,H51,b.01um,346.66313
b_Nitrospirota,H51,b.01um,87.7709508
c_Nanoarchaeota,H51,b.01um,292.3498994
d_Planctomycetota,H51,b.01um,10.02532656
e_Proteobacteria,H51,b.01um,178.9860256
f_Omnitrophota,H51,b.01um,0.601303658
g_Thermoproteota,H51,b.01um,23.14350889
h_Others,H51,b.01um,255.3495891
a_Patescibacteria,H52,b.01um,1108.530529
b_Nitrospirota,H52,b.01um,44.38938473
c_Nanoarchaeota,H52,b.01um,1195.310858
d_Planctomycetota,H52,b.01um,21.84553487
e_Proteobacteria,H52,b.01um,1865.361246
f_Omnitrophota,H52,b.01um,0.44328635
g_Thermoproteota,H52,b.01um,7.074361574
h_Others,H52,b.01um,856.4715049
a_Patescibacteria,H53,b.01um,636.9898868
b_Nitrospirota,H53,b.01um,175.4901173
c_Nanoarchaeota,H53,b.01um,533.8561688
d_Planctomycetota,H53,b.01um,92.68818738
e_Proteobacteria,H53,b.01um,4005.821128
f_Omnitrophota,H53,b.01um,2.739204988
g_Thermoproteota,H53,b.01um,20.94030248
h_Others,H53,b.01um,1448.794671
