scaffold,gene_position,start_position,end_position,strandedness,gene,type,genome
ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446,1,2,124,-1,Ribosomal protein L30p/L7e [PF00327.23],,ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446
ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446,2,131,355,-1, C-terminal domain [PF03719.18],,ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446
ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446,3,313,876,-1,Ribosomal protein S5,,ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446
ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446,4,879,1229,-1,Ribosomal L18 of archaea,,ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446
ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446,5,1229,1762,-1,Ribosomal protein L6 [PF00347.26],,ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446
ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446,6,1762,2157,-1,Ribosomal protein S8 [PF00410.22],,ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446
ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446,7,2168,2473,-1,Ribosomal protein S14p/S29e [PF00253.24],,ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446
ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446,8,2503,3084,-1,ribosomal L5P family C-terminus [PF00673.24],,ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446
ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446,9,3077,3394,-1,Ribosomal proteins 50S L24/mitochondrial 39S L24 [PF17136.7],,ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446
ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446,10,3394,3762,-1,Ribosomal protein L14p/L23e [PF00238.22],,ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446
ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446,11,3827,4096,-1,Ribosomal protein S17 [PF00366.23],,ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446
ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446,12,4107,4310,-1,,,ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446
ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446,13,4323,4757,-1,Ribosomal protein L16p/L10e [PF00252.21],,ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446
ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446,14,4859,5476,-1,Ribosomal protein S3,,ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446
ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446,15,5479,5856,-1,,,ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446
ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446,16,5856,6134,-1,Ribosomal protein S19 [PF00203.24],,ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446
ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446,17,6141,6977,-1,Ribosomal Proteins L2,,ADI_DC_SW_02_SPN_11032020_seepage_dvf_spades__NODE_10146_length_9878_cov_3.827446
