Bin Id,Bin Id,dereplication,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,QC,final_quality_assessment,gtdbtk_classify,note,,,,
H43-bin086_1-contigs.fasta,H43-bin086_1-contigs,yes,o__Sphingomonadales (UID3310),26,569,293,2,561,6,0,0,0,99.59,1.07,50,94.24,high,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium yanoikuyae,.,,,,
H32R302um_2022HA_B0106.fasta,H32R302um_2022HA_B0106,yes,o__Burkholderiales (UID4000),193,427,214,1,423,3,0,0,0,99.53,0.73,33.33,95.88,high,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Leptothrix;s__,.,,,,
H14R202um_2022HA_B0027.fasta,H14R202um_2022HA_B0027,yes,f__Xanthomonadaceae (UID4214),55,659,290,3,652,3,1,0,0,99.52,0.98,0,94.62,high,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__SCMT01;s__,.,,,,
H51R302um_2022HA_B0034.fasta,H51R302um_2022HA_B0034,yes,c__Betaproteobacteria (UID3959),235,418,210,1,415,2,0,0,0,99.52,0.24,0,98.32,high,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Sideroxydans;s__,.,,,,
H14R102um_2022_B0027.fasta,H14R102um_2022_B0027,yes,c__Betaproteobacteria (UID3959),235,420,211,2,416,2,0,0,0,99.46,0.54,0,96.76,high,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__SCGC-AAA027-K21;s__,.,,,,
H14R202um_2022HA_B0080.fasta,H14R202um_2022HA_B0080,yes,o__Burkholderiales (UID4001),108,549,242,4,539,6,0,0,0,99.39,1.14,16.67,93.69,high,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polynucleobacter;s__,.,,,,
H14R102um_2022HA_B0083.fasta,H14R102um_2022HA_B0083,yes,c__Betaproteobacteria (UID3971),223,424,211,4,413,7,0,0,0,99.38,0.99,14.29,94.43,high,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azonexus;s__,.,,,,
H53R101um_2022_B0029.fasta,H53R101um_2022_B0029,yes,c__Betaproteobacteria (UID3959),235,413,209,2,411,0,0,0,0,99.36,0,0,99.36,high,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__,.,,,,
H41-bin001_1-contigs.fasta,H41-bin001_1-contigs,yes,k__Bacteria (UID3187),2258,181,111,1,179,1,0,0,0,99.1,0.9,0,94.6,high,d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__UBA5009;s__,.,,,,
H41R102um_2022HA_B0149.fasta,H41R102um_2022HA_B0149,yes,k__Bacteria (UID3187),2258,181,111,1,179,1,0,0,0,99.1,0.9,0,94.6,high,d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Pseudobdellovibrio;s__,.,,,,
